subject;is_excluded;eeg_enc_recorded;eeg_ret_recorded;beh_enc_complete;beh_ret_complete;bad_channels;bad_icas;notes_exclusion;notes_beh;notes_eeg;ica_notes
17;False;True;True;True;True;P2;0, 1, 2, 3, 6, 7, 8, 10, 11, 14, 19, 22, 23, 25, 26, 36, 40;;;;ICA excluded: IC00:eye blink(1.00), IC01:eye blink(0.99), IC02:muscle artifact(0.99), IC03:brain(0.86), IC06:muscle artifact(1.00), IC07:muscle artifact(0.97), IC08:muscle artifact(0.96), IC10:muscle artifact(0.98), IC11:line noise(0.78), IC14:muscle artifact(0.99), IC19:muscle artifact(0.99), IC22:muscle artifact(0.92), IC23:eye blink(0.61), IC25:muscle artifact(1.00), IC26:muscle artifact(0.93), IC36:muscle artifact(0.99), IC40:muscle artifact(0.92)
20;False;True;True;True;True;FT7, Fp1, AF8;0, 1, 2, 12, 17, 22;;;;ICA excluded: IC00:eye blink(1.00), IC01:eye blink(0.99), IC02:eye blink(0.46), IC12:muscle artifact(0.98), IC17:muscle artifact(0.97), IC22:eye blink(0.61)
21;False;True;True;True;True;FT7, Fp1, AF8;1, 2, 6, 14, 15, 36;;;;ICA excluded: IC01:eye blink(0.99), IC02:eye blink(1.00), IC06:muscle artifact(0.90), IC14:muscle artifact(0.93), IC15:muscle artifact(0.90), IC36:muscle artifact(0.99)
22;False;True;True;True;True;T8, TP10;0, 1, 9, 10, 12, 13, 23;;;;ICA excluded: IC00:eye blink(0.99), IC01:eye blink(1.00), IC09:line noise(0.97), IC10:muscle artifact(0.98), IC12:muscle artifact(0.95), IC13:muscle artifact(0.91), IC23:muscle artifact(0.94)
23;False;True;True;True;True;T8, T7;0, 1, 2, 3, 7, 10, 13, 14, 15, 19, 25, 26, 28, 29, 30, 32, 37;;;;ICA excluded: IC00:eye blink(0.99), IC01:eye blink(0.57), IC02:eye blink(0.98), IC03:eye blink(0.82), IC07:muscle artifact(0.92), IC10:muscle artifact(0.99), IC13:muscle artifact(0.95), IC14:muscle artifact(0.99), IC15:eye blink(0.61), IC19:muscle artifact(1.00), IC25:muscle artifact(0.96), IC26:muscle artifact(0.98), IC28:muscle artifact(0.99), IC29:muscle artifact(0.95), IC30:muscle artifact(1.00), IC32:muscle artifact(1.00), IC37:muscle artifact(0.98)
26;False;True;True;True;True;;0, 2, 4, 5, 6, 21, 25, 40, 48;;;;ICA excluded: IC00:eye blink(0.99), IC02:eye blink(1.00), IC04:muscle artifact(0.99), IC05:eye blink(0.55), IC06:other(0.44), IC21:eye blink(0.54), IC25:muscle artifact(0.98), IC40:muscle artifact(0.96), IC48:muscle artifact(0.97)
27;False;True;True;True;True;PO4, TP8;0, 1, 3, 18, 23, 28, 37;;;;ICA excluded: IC00:eye blink(1.00), IC01:eye blink(0.99), IC03:eye blink(1.00), IC18:muscle artifact(0.58), IC23:muscle artifact(0.95), IC28:muscle artifact(0.99), IC37:muscle artifact(0.94)
30;False;True;True;True;True;T8, AF7;0, 1, 2, 3, 11, 17, 18, 20, 21, 23, 28, 35, 36, 37, 39, 43;;;;ICA excluded: IC00:eye blink(1.00), IC01:eye blink(0.99), IC02:eye blink(0.97), IC03:eye blink(1.00), IC11:muscle artifact(0.99), IC17:muscle artifact(1.00), IC18:eye blink(0.62), IC20:muscle artifact(1.00), IC21:muscle artifact(0.90), IC23:muscle artifact(0.92), IC28:muscle artifact(0.98), IC35:eye blink(0.60), IC36:muscle artifact(0.91), IC37:muscle artifact(0.92), IC39:eye blink(0.64), IC43:eye blink(0.34)
32;False;True;True;True;True;PO4;0, 1, 2, 15, 19, 21, 31, 38;;;;ICA excluded: IC00:eye blink(0.99), IC01:eye blink(0.96), IC02:eye blink(1.00), IC15:other(0.49), IC19:eye blink(0.93), IC21:eye blink(0.59), IC31:muscle artifact(0.92), IC38:eye blink(0.38)
33;False;True;True;True;True;CP1, POz, FC3;0, 1, 16, 17, 20, 31, 32, 40;;;;ICA excluded: IC00:eye blink(0.99), IC01:eye blink(1.00), IC16:muscle artifact(0.96), IC17:muscle artifact(1.00), IC20:eye blink(0.52), IC31:muscle artifact(0.98), IC32:muscle artifact(0.90), IC40:eye blink(0.45)
