participant_id,cue_file,enc_trial_count,enc_condition_id,enc_low_prediction,enc_high_prediction,enc_direction,enc_scn_type,enc_target_file,enc_target_sat,enc_acc,ret_trial_count,ret_trial_type,ret_trial_type_code,cue_recog_response,cue_recog_acc,outcome_response,outcome_memory_acc,afc_response_num,afc_response_story,afc_response_sat,afc_acc,afc_story_acc,afc_sat_acc
31,stimuli/02-01_02_02_188_Slide-09.png,1.0,6.0,1.0,0.0,1,1,stimuli/02-01_02_02_188_Slide-14.png,1.0,1.0,12.0,old,1.0,old,1,no,0.0,4.0,stimuli/02-01_02_02_188_Slide-14.png,1.0,1.0,1.0,1.0
31,stimuli/02-01_02_02_54_Slide-09.png,2.0,6.0,1.0,0.0,1,1,stimuli/02-01_02_02_54_Slide-14.png,1.0,1.0,62.0,old,1.0,new,0,no,0.0,3.0,stimuli/02-01_02_02_54_Slide-14.png,0.0,0.0,1.0,0.0
31,stimuli/02-02_02_02_178_Slide-09.png,3.0,6.0,1.0,0.0,1,1,stimuli/02-02_02_02_178_Slide-14.png,1.0,1.0,5.0,old,1.0,new,0,no,0.0,3.0,stimuli/02-02_02_02_178_Slide-14.png,0.0,0.0,1.0,0.0
31,stimuli/02-01_02_01_14_Slide-09.png,4.0,4.0,0.0,1.0,1,0,stimuli/02-01_02_01_14_Slide-16.png,0.0,1.0,68.0,old,1.0,new,0,no,0.0,2.0,stimuli/02-01_02_01_14_Slide-16.png,1.0,0.0,1.0,0.0
31,stimuli/01-01_02_01_89_Slide-01.png,5.0,3.0,0.0,1.0,0,0,stimuli/01-01_02_01_89_Slide-08.png,1.0,1.0,54.0,old,1.0,new,0,no,0.0,4.0,stimuli/01-01_02_01_89_Slide-06.png,1.0,0.0,0.0,1.0
31,stimuli/02-01_02_01_08_Slide-09.png,6.0,4.0,0.0,1.0,1,0,stimuli/02-01_02_01_08_Slide-16.png,0.0,1.0,39.0,old,1.0,old,1,no,0.0,4.0,stimuli/02-01_02_01_08_Slide-14.png,0.0,0.0,0.0,1.0
31,stimuli/02-01_01_02_169_Slide-09.png,7.0,2.0,0.0,0.0,1,1,stimuli/02-01_01_02_169_Slide-14.png,0.0,1.0,79.0,old,1.0,new,0,no,1.0,2.0,stimuli/02-01_01_02_169_Slide-14.png,1.0,0.0,1.0,0.0
31,stimuli/01-02_01_01_134_Slide-01.png,8.0,7.0,1.0,1.0,0,0,stimuli/01-02_01_01_134_Slide-08.png,0.0,1.0,52.0,old,1.0,old,1,yes,1.0,3.0,stimuli/01-02_01_01_134_Slide-08.png,1.0,0.0,1.0,0.0
31,stimuli/02-01_02_01_12_Slide-09.png,9.0,4.0,0.0,1.0,1,0,stimuli/02-01_02_01_12_Slide-16.png,0.0,1.0,61.0,old,1.0,new,0,yes,1.0,2.0,stimuli/02-01_02_01_12_Slide-16.png,1.0,0.0,1.0,0.0
31,stimuli/02-01_02_02_176_Slide-09.png,10.0,6.0,1.0,0.0,1,1,stimuli/02-01_02_02_176_Slide-14.png,1.0,1.0,7.0,old,1.0,old,1,yes,1.0,3.0,stimuli/02-01_02_02_176_Slide-16.png,1.0,0.0,0.0,1.0
